Pelecanus erythrorhynchos: ('species', 'Animalia', 4334, 'Pelecanus', 'genus')
Navarretia atractyloides: ('species', 'Plantae', 58251, 'Navarretia', 'genus')
Navarretia hamata: ('species', 'Plantae', 58968, 'Navarretia', 'genus')
Navarretia mellita: ('species', 'Plantae', 58975, 'Navarretia', 'genus')
Navarretia viscidula: ('species', 'Plantae', 78195, 'Navarretia', 'genus')
Navarretia heterodoxa: ('species', 'Plantae', 57209, 'Navarretia', 'genus')
Navarretia rosulata: ('species', 'Plantae', 78191, 'Navarretia', 'genus')
Hirschfeldia: ('genus', 'Plantae', 53098, 'Brassicaceae', 'family')
Sinapis: ('genus', 'Plantae', 53265, 'Brassicaceae', 'family')
Misumena: ('genus', 'Animalia', 55747, 'Thomisidae', 'family')
Thomisidae: ('family', 'Animalia', 47866, 'Araneae', 'order')
Misumenoides formosipes: ('species', 'Animalia', 62035, 'Misumenoides', 'genus')
Misumenoides: ('genus', 'Animalia', 62036, 'Thomisidae', 'family')
Mecaphesa: ('genus', 'Animalia', 129662, 'Thomisidae', 'family')
Nymphalidae: ('family', 'Animalia', 47922, 'Lepidoptera', 'order')
Euphydryas editha: ('species', 'Animalia', 59182, 'Euphydryas', 'genus')
Chlosyne: ('genus', 'Animalia', 53894, 'Nymphalidae', 'family')
Phyciodes: ('genus', 'Animalia', 52924, 'Nymphalidae', 'family')
Apiomerus: ('genus', 'Animalia', 61491, 'Reduviidae', 'family')
Reduviidae: ('family', 'Animalia', 48959, 'Hemiptera', 'order')
Sedum spathulifolium: ('species', 'Plantae', 58886, 'Sedum', 'genus')
Sedum: ('genus', 'Plantae', 55735, 'Crassulaceae', 'family')
Crassulaceae: ('family', 'Plantae', 51890, 'Saxifragales', 'order')
Sedum radiatum: ('species', 'Plantae', 61471, 'Sedum', 'genus')
Sedum praealtum: ('species', 'Plantae', 79032, 'Sedum', 'genus')
Sedum album: ('species', 'Plantae', 79025, 'Sedum', 'genus')
Sedum rubrotinctum: ('hybrid', 'Plantae', 276077, 'Sedum', 'genus')
Sedum dendroideum: ('species', 'Plantae', 208245, 'Sedum', 'genus')
Lytta: ('genus', 'Animalia', 59518, 'Meloidae', 'family')
Meloidae: ('family', 'Animalia', 59510, 'Coleoptera', 'order')
Salvia: ('genus', 'Plantae', 50644, 'Lamiaceae', 'family')
Salvia sonomensis: ('species', 'Plantae', 63964, 'Salvia', 'genus')
Salvia leucophylla: ('species', 'Plantae', 58191, 'Salvia', 'genus')
Cathartes: ('genus', 'Animalia', 4755, 'Cathartidae', 'family')
Cathartidae: ('family', 'Animalia', 71306, 'Cathartiformes', 'order')
Cathartiformes: ('order', 'Animalia', 559244, 'Aves', 'class')
Chordata: ('phylum', 'Animalia', 2, 'Animalia', 'kingdom')
Coragyps atratus: ('species', 'Animalia', 4765, 'Coragyps', 'genus')
Coragyps: ('genus', 'Animalia', 4764, 'Cathartidae', 'family')
Gymnogyps: ('genus', 'Animalia', 4777, 'Cathartidae', 'family')
Chrysaora fuscescens: ('species', 'Animalia', 48479, 'Chrysaora', 'genus')
Chrysaora: ('genus', 'Animalia', 48483, 'Pelagiidae', 'family')
Pelagiidae: ('family', 'Animalia', 48482, 'Semaeostomeae', 'order')
Lepidium oblongum: ('species', 'Plantae', 77671, 'Lepidium', 'genus')
Lepidium campestre: ('species', 'Plantae', 77663, 'Lepidium', 'genus')
Lepidium chalepense: ('species', 'Plantae', 891469, 'Lepidium', 'genus')
Lepidium didymum: ('species', 'Plantae', 60987, 'Lepidium', 'genus')
Lepidium strictum: ('species', 'Plantae', 58865, 'Lepidium', 'genus')
Lepidium virginicum: ('species', 'Plantae', 77676, 'Lepidium', 'genus')
Lepidium oxycarpum: ('species', 'Plantae', 60155, 'Lepidium', 'genus')
Lepidium pinnatifidum: ('species', 'Plantae', 77673, 'Lepidium', 'genus')
Lepidium latipes: ('species', 'Plantae', 60154, 'Lepidium', 'genus')
Lepidium acutidens: ('species', 'Plantae', 77661, 'Lepidium', 'genus')
Lepidium dictyotum: ('species', 'Plantae', 58080, 'Lepidium', 'genus')
Cucurbitaceae: ('family', 'Plantae', 48620, 'Cucurbitales', 'order')
Branta: ('genus', 'Animalia', 7086, 'Anatidae', 'family')
Anseriformes: ('order', 'Animalia', 6888, 'Aves', 'class')
Spatula: ('genus', 'Animalia', 558404, 'Anatidae', 'family')
Aythya: ('genus', 'Animalia', 7043, 'Anatidae', 'family')
Oxyura: ('genus', 'Animalia', 7073, 'Anatidae', 'family')
Mergus: ('genus', 'Animalia', 6995, 'Anatidae', 'family')
Mareca: ('genus', 'Animalia', 487319, 'Anatidae', 'family')
Euphorbia oblongata: ('species', 'Plantae', 77117, 'Euphorbia', 'genus')
Euphorbia: ('genus', 'Plantae', 51822, 'Euphorbiaceae', 'family')
Euphorbiaceae: ('family', 'Plantae', 51821, 'Malpighiales', 'order')
Euphorbia peplus: ('species', 'Plantae', 57036, 'Euphorbia', 'genus')
Euphorbia lathyris: ('species', 'Plantae', 77114, 'Euphorbia', 'genus')
Euphorbia spathulata: ('species', 'Plantae', 58894, 'Euphorbia', 'genus')
Euphorbia crenulata: ('species', 'Plantae', 77108, 'Euphorbia', 'genus')
Euphorbia characias: ('species', 'Plantae', 181594, 'Euphorbia', 'genus')
Euphorbia cyparissias: ('species', 'Plantae', 55766, 'Euphorbia', 'genus')
Euphorbia helioscopia: ('species', 'Plantae', 56292, 'Euphorbia', 'genus')
Euphorbia maculata: ('species', 'Plantae', 58893, 'Euphorbia', 'genus')
Euphorbia ocellata: ('species', 'Plantae', 473570, 'Euphorbia', 'genus')
Euphorbia serpens: ('species', 'Plantae', 200054, 'Euphorbia', 'genus')
Euphorbia serpillifolia: ('species', 'Plantae', 550259, 'Euphorbia', 'genus')
Lithophragma: ('genus', 'Plantae', 50800, 'Saxifragaceae', 'family')
Lithophragma bolanderi: ('species', 'Plantae', 77787, 'Lithophragma', 'genus')
Lithophragma parviflorum parviflorum: ('variety', 'Plantae', 81027, 'Lithophragma parviflorum', 'species')
Lithophragma parviflorum: ('species', 'Plantae', 77791, 'Lithophragma', 'genus')
Argia: ('genus', 'Animalia', 47977, 'Coenagrionidae', 'family')
Sonchus tenerrimus: ('species', 'Plantae', 79157, 'Sonchus', 'genus')
Sonchus arvensis: ('species', 'Plantae', 79156, 'Sonchus', 'genus')
Agoseris: ('genus', 'Plantae', 52829, 'Asteraceae', 'family')
Agoseris glauca glauca: ('variety', 'Plantae', 80330, 'Agoseris glauca', 'species')
Agoseris glauca: ('species', 'Plantae', 75303, 'Agoseris', 'genus')
Agoseris grandiflora: ('species', 'Plantae', 52828, 'Agoseris', 'genus')
Agoseris heterophylla heterophylla: ('variety', 'Plantae', 56859, 'Agoseris heterophylla', 'species')
Agoseris heterophylla: ('species', 'Plantae', 56856, 'Agoseris', 'genus')
Phalacrocorax: ('genus', 'Animalia', 4263, 'Phalacrocoracidae', 'family')
Suliformes: ('order', 'Animalia', 71268, 'Aves', 'class')
Urile: ('genus', 'Animalia', 1289334, 'Phalacrocoracidae', 'family')
Sitta: ('genus', 'Animalia', 14800, 'Sittidae', 'family')
Sittidae: ('family', 'Animalia', 14799, 'Passeriformes', 'order')
Rattus: ('genus', 'Animalia', 44540, 'Muridae', 'family')
Muridae: ('family', 'Animalia', 44185, 'Rodentia', 'order')
Rattus norvegicus: ('species', 'Animalia', 44576, 'Rattus', 'genus')
Sambucus racemosa: ('species', 'Plantae', 57824, 'Sambucus', 'genus')
Sambucus: ('genus', 'Plantae', 52689, 'Viburnaceae', 'family')
Viburnaceae: ('family', 'Plantae', 781703, 'Dipsacales', 'order')
Sambucus racemosa melanocarpa: ('variety', 'Plantae', 57825, 'Sambucus racemosa', 'species')
Madia exigua: ('species', 'Plantae', 56971, 'Madia', 'genus')
Hemizonella minima: ('species', 'Plantae', 77367, 'Hemizonella', 'genus')
Hemizonella: ('genus', 'Plantae', 72168, 'Asteraceae', 'family')
Plagiobothrys bracteatus: ('species', 'Plantae', 57719, 'Plagiobothrys', 'genus')
Plagiobothrys chorisianus: ('species', 'Plantae', 57709, 'Plagiobothrys', 'genus')
Plagiobothrys collinus: ('species', 'Plantae', 56176, 'Plagiobothrys', 'genus')
Plagiobothrys scouleri: ('species', 'Plantae', 166953, 'Plagiobothrys', 'genus')
Plagiobothrys fulvus: ('species', 'Plantae', 64316, 'Plagiobothrys', 'genus')
Plagiobothrys glaber: ('species', 'Plantae', 57713, 'Plagiobothrys', 'genus')
Plagiobothrys stipitatus: ('species', 'Plantae', 57708, 'Plagiobothrys', 'genus')
Plagiobothrys tenellus: ('species', 'Plantae', 58066, 'Plagiobothrys', 'genus')
Plagiobothrys trachycarpus: ('species', 'Plantae', 57718, 'Plagiobothrys', 'genus')
Plagiobothrys undulatus: ('species', 'Plantae', 78612, 'Plagiobothrys', 'genus')
Chenopodium macrospermum: ('species', 'Plantae', 76280, 'Chenopodium', 'genus')
Chenopodium: ('genus', 'Plantae', 48439, 'Amaranthaceae', 'family')
Amaranthaceae: ('family', 'Plantae', 52327, 'Caryophyllales', 'order')
Chenopodiastrum murale: ('species', 'Plantae', 514012, 'Chenopodiastrum', 'genus')
Chenopodiastrum: ('genus', 'Plantae', 514011, 'Amaranthaceae', 'family')
Chenopodium album: ('species', 'Plantae', 58127, 'Chenopodium', 'genus')
Chenopodium berlandieri: ('species', 'Plantae', 58879, 'Chenopodium', 'genus')
Chenopodium pratericola: ('species', 'Plantae', 76284, 'Chenopodium', 'genus')
Chenopodium vulvaria: ('species', 'Plantae', 76288, 'Chenopodium', 'genus')
Garrya: ('genus', 'Plantae', 53402, 'Garryaceae', 'family')
Garryaceae: ('family', 'Plantae', 53401, 'Garryales', 'order')
Garryales: ('order', 'Plantae', 53400, 'Magnoliopsida', 'class')
Garrya flavescens: ('species', 'Plantae', 56201, 'Garrya', 'genus')
Garrya fremontii: ('species', 'Plantae', 56202, 'Garrya', 'genus')
Brodiaea coronaria: ('species', 'Plantae', 57126, 'Brodiaea', 'genus')
Brodiaea stellaris: ('species', 'Plantae', 75894, 'Brodiaea', 'genus')
Zeltnera trichantha: ('species', 'Plantae', 79552, 'Zeltnera', 'genus')
Zeltnera davyi: ('species', 'Plantae', 79548, 'Zeltnera', 'genus')
Zeltnera venusta: ('species', 'Plantae', 79553, 'Zeltnera', 'genus')
Zeltnera exaltata: ('species', 'Plantae', 79549, 'Zeltnera', 'genus')
Vicia lutea: ('species', 'Plantae', 57308, 'Vicia', 'genus')
Vicia hassei: ('species', 'Plantae', 57313, 'Vicia', 'genus')
Vicia ludoviciana ludoviciana: ('subspecies', 'Plantae', 80270, 'Vicia ludoviciana', 'species')
Vicia ludoviciana: ('species', 'Plantae', 57312, 'Vicia', 'genus')
Spergularia macrotheca leucantha: ('variety', 'Plantae', 60171, 'Spergularia macrotheca', 'species')
Spergularia macrotheca longistyla: ('variety', 'Plantae', 61473, 'Spergularia macrotheca', 'species')
Monardella: ('genus', 'Plantae', 52182, 'Lamiaceae', 'family')
Monardella undulata: ('species', 'Plantae', 61878, 'Monardella', 'genus')
Monardella odoratissima pallida: ('subspecies', 'Plantae', 80038, 'Monardella odoratissima', 'species')
Monardella purpurea: ('species', 'Plantae', 61188, 'Monardella', 'genus')
Erysimum: ('genus', 'Plantae', 50630, 'Brassicaceae', 'family')
Erysimum ammophilum: ('species', 'Plantae', 77067, 'Erysimum', 'genus')
Erysimum teretifolium: ('species', 'Plantae', 67798, 'Erysimum', 'genus')
Odocoileus: ('genus', 'Animalia', 42219, 'Cervidae', 'family')
Cervidae: ('family', 'Animalia', 42158, 'Artiodactyla', 'order')
Cervus canadensis nannodes: ('subspecies', 'Animalia', 566549, 'Cervus canadensis', 'species')
Cervus canadensis: ('species', 'Animalia', 204114, 'Cervus', 'genus')
Cervus: ('genus', 'Animalia', 42205, 'Cervidae', 'family')
Holocarpha macradenia: ('species', 'Plantae', 62573, 'Holocarpha', 'genus')
Holocarpha: ('genus', 'Plantae', 53100, 'Asteraceae', 'family')
Holocarpha heermannii: ('species', 'Plantae', 62568, 'Holocarpha', 'genus')
Holocarpha obconica: ('species', 'Plantae', 62571, 'Holocarpha', 'genus')
Sorex vagrans: ('species', 'Animalia', 46348, 'Sorex', 'genus')
Sorex: ('genus', 'Animalia', 46342, 'Soricidae', 'family')
Soricidae: ('family', 'Animalia', 46341, 'Eulipotyphla', 'order')
Sorex ornatus: ('species', 'Animalia', 46477, 'Sorex', 'genus')
Sorex trowbridgii: ('species', 'Animalia', 46503, 'Sorex', 'genus')
Sorex sonomae: ('species', 'Animalia', 46377, 'Sorex', 'genus')
Genista: ('genus', 'Plantae', 47407, 'Fabaceae', 'family')
Genista maderensis: ('species', 'Plantae', 77239, 'Genista', 'genus')
Genista canariensis: ('species', 'Plantae', 77237, 'Genista', 'genus')
Trametes versicolor: ('complex', 'Fungi', 1153556, 'Trametes', 'genus')
Trametes: ('genus', 'Fungi', 47378, 'Polyporaceae', 'family')
Polyporaceae: ('family', 'Fungi', 47379, 'Polyporales', 'order')
Agaricomycetes: ('class', 'Fungi', 50814, 'Basidiomycota', 'phylum')
Papilio: ('genus', 'Animalia', 47225, 'Papilionidae', 'family')
Papilionidae: ('family', 'Animalia', 47223, 'Lepidoptera', 'order')
Ribes aureum: ('species', 'Plantae', 55544, 'Ribes', 'genus')
Grossulariaceae: ('family', 'Plantae', 47131, 'Saxifragales', 'order')
Epipactis: ('genus', 'Plantae', 50716, 'Orchidaceae', 'family')
Orchidaceae: ('family', 'Plantae', 47217, 'Asparagales', 'order')
Epipactis gigantea: ('species', 'Plantae', 50715, 'Epipactis', 'genus')
Melilotus: ('genus', 'Plantae', 57067, 'Fabaceae', 'family')
Melilotus officinalis: ('species', 'Plantae', 57066, 'Melilotus', 'genus')
Melilotus albus: ('species', 'Plantae', 58907, 'Melilotus', 'genus')
Crepis capillaris: ('species', 'Plantae', 54050, 'Crepis', 'genus')
Crepis: ('genus', 'Plantae', 54051, 'Asteraceae', 'family')
Crepis bursifolia: ('species', 'Plantae', 76473, 'Crepis', 'genus')
Incisitermes: ('genus', 'Animalia', 196450, 'Kalotermitidae', 'family')
Kalotermitidae: ('family', 'Animalia', 143496, 'Blattodea', 'order')
Blattodea: ('order', 'Animalia', 81769, 'Insecta', 'class')
Zootermopsis angusticollis: ('species', 'Animalia', 121383, 'Zootermopsis', 'genus')
Zootermopsis: ('genus', 'Animalia', 121381, 'Archotermopsidae', 'family')
Archotermopsidae: ('family', 'Animalia', 857908, 'Blattodea', 'order')
Reticulitermes: ('genus', 'Animalia', 119933, 'Rhinotermitidae', 'family')
Rhinotermitidae: ('family', 'Animalia', 119932, 'Blattodea', 'order')
Heterotheca grandiflora: ('species', 'Plantae', 58831, 'Heterotheca', 'genus')
Heterotheca: ('genus', 'Plantae', 57989, 'Asteraceae', 'family')
Heterotheca oregona: ('species', 'Plantae', 77396, 'Heterotheca', 'genus')
Pyracantha angustifolia: ('species', 'Plantae', 54053, 'Pyracantha', 'genus')
Pyracantha koidzumii: ('species', 'Plantae', 78792, 'Pyracantha', 'genus')
Pyracantha coccinea: ('species', 'Plantae', 57254, 'Pyracantha', 'genus')
Neotoma fuscipes: ('species', 'Animalia', 44749, 'Neotoma', 'genus')
Neotoma: ('genus', 'Animalia', 44737, 'Cricetidae', 'family')
Cricetidae: ('family', 'Animalia', 55986, 'Rodentia', 'order')
Dipodomys venustus: ('species', 'Animalia', 44107, 'Dipodomys', 'genus')
Dipodomys: ('genus', 'Animalia', 44098, 'Heteromyidae', 'family')
Heteromyidae: ('family', 'Animalia', 44081, 'Rodentia', 'order')
Chaetodipus californicus: ('species', 'Animalia', 44093, 'Chaetodipus', 'genus')
Chaetodipus: ('genus', 'Animalia', 44082, 'Heteromyidae', 'family')
Grindelia: ('genus', 'Plantae', 55365, 'Asteraceae', 'family')
Sanicula saxatilis: ('species', 'Plantae', 57783, 'Sanicula', 'genus')
Sanicula hoffmannii: ('species', 'Plantae', 64112, 'Sanicula', 'genus')
Sanicula laciniata: ('species', 'Plantae', 56841, 'Sanicula', 'genus')
Sanicula arctopoides: ('species', 'Plantae', 55466, 'Sanicula', 'genus')
Sanicula maritima: ('species', 'Plantae', 57625, 'Sanicula', 'genus')
Ganoderma applanatum: ('complex', 'Fungi', 1129535, 'Ganoderma', 'genus')
Ganoderma: ('genus', 'Fungi', 48475, 'Polyporaceae', 'family')
Ganoderma brownii: ('species', 'Fungi', 348812, 'Ganoderma', 'genus')
Ceanothus jepsonii: ('species', 'Plantae', 63003, 'Ceanothus', 'genus')
Rhamnaceae: ('family', 'Plantae', 49041, 'Rosales', 'order')
Ceanothus ferrisiae: ('species', 'Plantae', 76175, 'Ceanothus', 'genus')
Ceanothus gloriosus: ('species', 'Plantae', 76177, 'Ceanothus', 'genus')
Ceanothus masonii: ('species', 'Plantae', 76184, 'Ceanothus', 'genus')
Ceanothus foliosus: ('species', 'Plantae', 64077, 'Ceanothus', 'genus')
Ceanothus integerrimus integerrimus: ('variety', 'Plantae', 80532, 'Ceanothus integerrimus', 'species')
Ceanothus integerrimus: ('species', 'Plantae', 62227, 'Ceanothus', 'genus')
Ceanothus velutinus: ('species', 'Plantae', 64043, 'Ceanothus', 'genus')
Ceanothus incanus: ('species', 'Plantae', 76180, 'Ceanothus', 'genus')
Ceanothus leucodermis: ('species', 'Plantae', 76182, 'Ceanothus', 'genus')
Araneus: ('genus', 'Animalia', 52629, 'Araneidae', 'family')
Adenostoma fasciculatum fasciculatum: ('variety', 'Plantae', 80320, 'Adenostoma fasciculatum', 'species')
Adenostoma: ('genus', 'Plantae', 47147, 'Rosaceae', 'family')
Adenostoma fasciculatum obtusifolium: ('variety', 'Plantae', 80321, 'Adenostoma fasciculatum', 'species')
Adenostoma fasciculatum prostratum: ('variety', 'Plantae', 80322, 'Adenostoma fasciculatum', 'species')
Bubo virginianus: ('species', 'Animalia', 20044, 'Bubo', 'genus')
Bubo: ('genus', 'Animalia', 20034, 'Strigidae', 'family')
Strigidae: ('family', 'Animalia', 19728, 'Strigiformes', 'order')
Strigiformes: ('order', 'Animalia', 19350, 'Aves', 'class')
Tyto alba: ('species', 'Animalia', 20445, 'Tyto', 'genus')
Tyto: ('genus', 'Animalia', 20414, 'Tytonidae', 'family')
Tytonidae: ('family', 'Animalia', 20413, 'Strigiformes', 'order')
Athene cunicularia: ('species', 'Animalia', 19975, 'Athene', 'genus')
Athene: ('genus', 'Animalia', 19974, 'Strigidae', 'family')
Megascops kennicottii: ('species', 'Animalia', 19743, 'Megascops', 'genus')
Megascops: ('genus', 'Animalia', 19729, 'Strigidae', 'family')
Strix occidentalis: ('species', 'Animalia', 19959, 'Strix', 'genus')
Strix: ('genus', 'Animalia', 19885, 'Strigidae', 'family')
Glaucidium gnoma: ('species', 'Animalia', 19812, 'Glaucidium', 'genus')
Glaucidium: ('genus', 'Animalia', 19803, 'Strigidae', 'family')
Aegolius acadicus: ('species', 'Animalia', 20356, 'Aegolius', 'genus')
Aegolius: ('genus', 'Animalia', 20351, 'Strigidae', 'family')
Asio otus: ('species', 'Animalia', 20307, 'Asio', 'genus')
Asio: ('genus', 'Animalia', 20306, 'Strigidae', 'family')
Strix varia: ('species', 'Animalia', 19893, 'Strix', 'genus')
Lupinus albifrons douglasii: ('variety', 'Plantae', 81043, 'Lupinus albifrons', 'species')
Lupinus albifrons collinus: ('variety', 'Plantae', 61795, 'Lupinus albifrons', 'species')
Balsamorhiza: ('genus', 'Plantae', 62267, 'Asteraceae', 'family')
Balsamorhiza deltoidea: ('species', 'Plantae', 70383, 'Balsamorhiza', 'genus')
Cotula: ('genus', 'Plantae', 53026, 'Asteraceae', 'family')
Cotula australis: ('species', 'Plantae', 53025, 'Cotula', 'genus')
Acronicta: ('subgenus', 'Animalia', 1096177, 'Noctuidae', 'family')
Erigeron: ('genus', 'Plantae', 50879, 'Asteraceae', 'family')
Erigeron foliosus: ('species', 'Plantae', 57972, 'Erigeron', 'genus')
Erigeron sumatrensis: ('species', 'Plantae', 76943, 'Erigeron', 'genus')
Erigeron bonariensis: ('species', 'Plantae', 76904, 'Erigeron', 'genus')
Erigeron petrophilus petrophilus: ('variety', 'Plantae', 58825, 'Erigeron petrophilus', 'species')
Erigeron petrophilus: ('species', 'Plantae', 76935, 'Erigeron', 'genus')
Erigeron reductus angustatus: ('variety', 'Plantae', 80754, 'Erigeron reductus', 'species')
Erigeron reductus: ('species', 'Plantae', 76938, 'Erigeron', 'genus')
Neogale frenata: ('species', 'Animalia', 1264431, 'Neogale', 'genus')
Neogale: ('genus', 'Animalia', 1264428, 'Mustelidae', 'family')
Mustelidae: ('family', 'Animalia', 41770, 'Carnivora', 'order')
Taxidea taxus: ('species', 'Animalia', 41789, 'Taxidea', 'genus')
Taxidea: ('genus', 'Animalia', 41788, 'Mustelidae', 'family')
Helenium: ('genus', 'Plantae', 53093, 'Asteraceae', 'family')
Calochortus: ('genus', 'Plantae', 47327, 'Liliaceae', 'family')
Calochortus superbus: ('species', 'Plantae', 51078, 'Calochortus', 'genus')
Calochortus splendens: ('species', 'Plantae', 58361, 'Calochortus', 'genus')
Calochortus umbellatus: ('species', 'Plantae', 51054, 'Calochortus', 'genus')
Calochortus uniflorus: ('species', 'Plantae', 61191, 'Calochortus', 'genus')
Calochortus striatus: ('species', 'Plantae', 75945, 'Calochortus', 'genus')
Calochortus tiburonensis: ('species', 'Plantae', 57392, 'Calochortus', 'genus')
Calochortus amabilis: ('species', 'Plantae', 59446, 'Calochortus', 'genus')
Calochortus pulchellus: ('species', 'Plantae', 47326, 'Calochortus', 'genus')
Lysimachia: ('genus', 'Plantae', 48063, 'Primulaceae', 'family')
Primulaceae: ('family', 'Plantae', 48064, 'Ericales', 'order')
Lysimachia maritima: ('species', 'Plantae', 204175, 'Lysimachia', 'genus')
Lysimachia minima: ('species', 'Plantae', 204353, 'Lysimachia', 'genus')
Pistacia: ('genus', 'Plantae', 72301, 'Anacardiaceae', 'family')
Pistacia atlantica: ('species', 'Plantae', 78588, 'Pistacia', 'genus')
Trillium: ('genus', 'Plantae', 49465, 'Melanthiaceae', 'family')
Melanthiaceae: ('family', 'Plantae', 49464, 'Liliales', 'order')
Trillium ovatum oettingeri: ('variety', 'Plantae', 80260, 'Trillium ovatum', 'species')
Clarkia amoena huntiana: ('subspecies', 'Plantae', 61124, 'Clarkia amoena', 'species')
Clarkia amoena: ('species', 'Plantae', 61048, 'Clarkia', 'genus')
Clarkia amoena amoena: ('subspecies', 'Plantae', 61123, 'Clarkia amoena', 'species')
Clarkia amoena whitneyi: ('subspecies', 'Plantae', 79730, 'Clarkia amoena', 'species')
Triteleia: ('genus', 'Plantae', 51086, 'Asparagaceae', 'family')
Triteleia ixioides cookii: ('subspecies', 'Plantae', 80262, 'Triteleia ixioides', 'species')
Accipiter: ('genus', 'Animalia', 5085, 'Accipitridae', 'family')
Accipitriformes: ('order', 'Animalia', 71261, 'Aves', 'class')
Fuligo: ('genus', 'Protozoa', 55486, 'Physaraceae', 'family')
Physaraceae: ('family', 'Protozoa', 55485, 'Physarales', 'order')
Physarales: ('order', 'Protozoa', 55484, 'Myxomycetes', 'class')
Myxomycetes: ('class', 'Protozoa', 47684, 'Mycetozoa', 'phylum')
Protozoa: ('kingdom', 'Protozoa', 47686, None, None)
Fuligo leviderma: ('species', 'Protozoa', 501701, 'Fuligo', 'genus')
Micropus amphibolus: ('species', 'Plantae', 78034, 'Micropus', 'genus')
Micropus: ('genus', 'Plantae', 48024, 'Asteraceae', 'family')
Penstemon: ('genus', 'Plantae', 48367, 'Plantaginaceae', 'family')
Penstemon centranthifolius: ('species', 'Plantae', 56752, 'Penstemon', 'genus')
Penstemon heterodoxus heterodoxus: ('variety', 'Plantae', 81203, 'Penstemon heterodoxus', 'species')
Penstemon rattanii: ('species', 'Plantae', 78417, 'Penstemon', 'genus')
Penstemon grinnellii scrophularioides: ('variety', 'Plantae', 81201, 'Penstemon grinnellii', 'species')
Penstemon grinnellii: ('species', 'Plantae', 78402, 'Penstemon', 'genus')
Cryptoporus: ('genus', 'Fungi', 118055, 'Polyporaceae', 'family')
Limacus: ('genus', 'Animalia', 322420, 'Limacidae', 'family')
Limacidae: ('family', 'Animalia', 62471, 'Stylommatophora', 'order')
Stylommatophora: ('order', 'Animalia', 47485, 'Gastropoda', 'class')
Gastropoda: ('class', 'Animalia', 47114, 'Mollusca', 'phylum')
Mollusca: ('phylum', 'Animalia', 47115, 'Animalia', 'kingdom')
Proserpinus: ('genus', 'Animalia', 91344, 'Sphingidae', 'family')
Sphingidae: ('family', 'Animalia', 47213, 'Lepidoptera', 'order')
Hyles: ('genus', 'Animalia', 49349, 'Sphingidae', 'family')
Pyralidae: ('family', 'Animalia', 49683, 'Lepidoptera', 'order')
Malacosoma: ('genus', 'Animalia', 61786, 'Lasiocampidae', 'family')
Lasiocampidae: ('family', 'Animalia', 56584, 'Lepidoptera', 'order')
Erebidae: ('family', 'Animalia', 121850, 'Lepidoptera', 'order')
Oinophila: ('genus', 'Animalia', 321696, 'Tineidae', 'family')
Tineidae: ('family', 'Animalia', 124262, 'Lepidoptera', 'order')
Ribes quercetorum: ('species', 'Plantae', 55548, 'Ribes', 'genus')
Ribes divaricatum pubiflorum: ('variety', 'Plantae', 53434, 'Ribes divaricatum', 'species')
Ribes divaricatum: ('species', 'Plantae', 53448, 'Ribes', 'genus')
Ribes amarum: ('species', 'Plantae', 53433, 'Ribes', 'genus')
Ribes victoris: ('species', 'Plantae', 55549, 'Ribes', 'genus')
Rumex obtusifolius: ('species', 'Plantae', 63371, 'Rumex', 'genus')
Rumex fueginus: ('species', 'Plantae', 78903, 'Rumex', 'genus')
Rumex persicarioides: ('species', 'Plantae', 78908, 'Rumex', 'genus')
Rumex occidentalis: ('species', 'Plantae', 61086, 'Rumex', 'genus')
Rumex californicus: ('species', 'Plantae', 78901, 'Rumex', 'genus')
Rumex transitorius: ('species', 'Plantae', 78910, 'Rumex', 'genus')
Apis: ('genus', 'Animalia', 47220, 'Apidae', 'family')
Apidae: ('family', 'Animalia', 47221, 'Hymenoptera', 'order')
Hymenoptera: ('order', 'Animalia', 47201, 'Insecta', 'class')
Eucera frater: ('species', 'Animalia', 453648, 'Eucera', 'genus')
Eucera: ('genus', 'Animalia', 123670, 'Apidae', 'family')
Halictus: ('genus', 'Animalia', 57677, 'Halictidae', 'family')
Halictidae: ('family', 'Animalia', 49707, 'Hymenoptera', 'order')
Andrenidae: ('family', 'Animalia', 57668, 'Hymenoptera', 'order')
Dione: ('genus', 'Animalia', 130349, 'Nymphalidae', 'family')
Boloria: ('genus', 'Animalia', 58573, 'Nymphalidae', 'family')
Strophiona: ('genus', 'Animalia', 211321, 'Cerambycidae', 'family')
Cerambycidae: ('family', 'Animalia', 47961, 'Coleoptera', 'order')
Strophiona laeta: ('species', 'Animalia', 455463, 'Strophiona', 'genus')
Strophiona nitens: ('species', 'Animalia', 231832, 'Strophiona', 'genus')
Castilleja rubicundula rubicundula: ('variety', 'Plantae', 79694, 'Castilleja rubicundula', 'species')
Ludwigia peploides: ('species', 'Plantae', 60220, 'Ludwigia', 'genus')
Numenius: ('genus', 'Animalia', 3894, 'Scolopacidae', 'family')
Scolopacidae: ('family', 'Animalia', 3835, 'Charadriiformes', 'order')
Charadriiformes: ('order', 'Animalia', 67561, 'Aves', 'class')
Numenius phaeopus: ('species', 'Animalia', 3901, 'Numenius', 'genus')
Pellaea: ('genus', 'Plantae', 57232, 'Pteridaceae', 'family')
Pellaea mucronata: ('species', 'Plantae', 57236, 'Pellaea', 'genus')
Scutellaria: ('genus', 'Plantae', 53914, 'Lamiaceae', 'family')
Scutellaria californica: ('species', 'Plantae', 59791, 'Scutellaria', 'genus')
